"scale","ethical_principle","diff"
"scale = 1","reward
 all three",-0.0095465259
"scale = 1","selfishness",-0.0660049312
"scale = 1","generosity",-0.145458066
"scale = 1","tradition
 compliance",-0.01810006
"scale = 1","reward
 labor",0.0138083434
"scale = 1","reward
 land",0.26722047
"scale = 1","reward
 resource",0.176641283
"scale = 1","reward labor
 and land",-0.155349516
"scale = 1","reward labor
 and resource",-0.2785500846
"scale = 1","reward land
 and resource",0.053614327
"scale = 1","reward
 all three",0.15217824
"scale = 1","selfishness",0.275579469
"scale = 1","generosity",0.0132052003
"scale = 1","tradition
 compliance",0.016937804
"scale = 1","reward
 labor",-0.32751787
"scale = 1","reward
 land",-0.1362705075
"scale = 1","reward
 resource",-0.033070029
"scale = 1","reward labor
 and land",0.146560481
"scale = 1","reward labor
 and resource",0.2493952216
"scale = 1","reward land
 and resource",-0.194136842
"scale = 1","reward
 all three",-0.0106829199
"scale = 1","selfishness",-0.0474750632
"scale = 1","generosity",-0.242101778
"scale = 1","tradition
 compliance",-0.229351358
"scale = 1","reward
 labor",0.0158322749
"scale = 1","reward
 land",0.192835132
"scale = 1","reward
 resource",0.00728918899999999
"scale = 1","reward labor
 and land",-0.062107552
"scale = 1","reward labor
 and resource",-0.1624836796
"scale = 1","reward land
 and resource",0.037809281
"scale = 1","reward
 all three",0.48975355
"scale = 1","selfishness",0.073935122
"scale = 1","generosity",0.0951870881
"scale = 1","tradition
 compliance",0.1281487847
"scale = 1","reward
 labor",-0.45573024
"scale = 1","reward
 land",0.0123988493
"scale = 1","reward
 resource",-0.00954427400000001
"scale = 1","reward labor
 and land",0.0518378438
"scale = 1","reward labor
 and resource",0.217968863
"scale = 1","reward land
 and resource",-0.092616778
"scale = 1","reward
 all three",-0.021585264
"scale = 1","selfishness",-0.02484314
"scale = 1","generosity",0.0064659129
"scale = 1","tradition
 compliance",0.257358983
"scale = 1","reward
 labor",-0.406146924
"scale = 1","reward
 land",0.137463338
"scale = 1","reward
 resource",-0.05994233
"scale = 1","reward labor
 and land",0.000197826999999999
"scale = 1","reward labor
 and resource",0.137001535
"scale = 1","reward land
 and resource",0.002518363
"scale = 1","reward
 all three",-0.050073577
"scale = 1","selfishness",0.292084022
"scale = 1","generosity",-0.076074717
"scale = 1","tradition
 compliance",-0.04200216
"scale = 1","reward
 labor",0.00984879
"scale = 1","reward
 land",-0.074005451
"scale = 1","reward
 resource",0.08063588
"scale = 1","reward labor
 and land",0.075458379
"scale = 1","reward labor
 and resource",0.021984221
"scale = 1","reward land
 and resource",-0.31070239
"scale = 1","reward
 all three",0.022773421
"scale = 1","selfishness",0.02112422
"scale = 1","generosity",0.18652762
"scale = 1","tradition
 compliance",0.142133123
"scale = 1","reward
 labor",0.0297806
"scale = 1","reward
 land",0.017197305
"scale = 1","reward
 resource",-0.145968407
"scale = 1","reward labor
 and land",-0.342950689
"scale = 1","reward labor
 and resource",0.084312693
"scale = 1","reward land
 and resource",-0.038254082
"scale = 1","reward
 all three",0.046097612
"scale = 1","selfishness",0.020435585
"scale = 1","generosity",-0.028489527
"scale = 1","tradition
 compliance",-0.015015386
"scale = 1","reward
 labor",-0.113834611
"scale = 1","reward
 land",0.179148127
"scale = 1","reward
 resource",-0.028687703
"scale = 1","reward labor
 and land",0.116982464
"scale = 1","reward labor
 and resource",0.004016417
"scale = 1","reward land
 and resource",0.21348818
"scale = 1","reward
 all three",-0.3480435527
"scale = 1","selfishness",-0.065265041
"scale = 1","generosity",0.019177227
"scale = 1","tradition
 compliance",0.074694014
"scale = 1","reward
 labor",0.052119652
"scale = 1","reward
 land",-0.24600906
"scale = 1","reward
 resource",0.044835942
"scale = 1","reward labor
 and land",-0.093385662
"scale = 1","reward labor
 and resource",-0.20235039
"scale = 1","reward land
 and resource",0.006820858
"scale = 1","reward
 all three",0.409362456
"scale = 1","selfishness",0.2514202507
"scale = 1","generosity",0.030596725
"scale = 1","tradition
 compliance",0.157178151
"scale = 1","reward
 labor",-0.12188945
"scale = 1","reward
 land",-0.009964635
"scale = 1","reward
 resource",0.048821341
"scale = 1","reward labor
 and land",0.030741763
"scale = 1","reward labor
 and resource",-0.082899239
"scale = 1","reward land
 and resource",-0.03386935
"scale = 1","reward
 all three",-0.270135558
"scale = 1","selfishness",0.049993341
"scale = 1","generosity",-0.361969264
"scale = 1","tradition
 compliance",0.152802355
"scale = 1","reward
 labor",-0.0291423554
"scale = 1","reward
 land",0.055106343
"scale = 1","reward
 resource",-0.019709483
"scale = 1","reward labor
 and land",0.005226673
"scale = 1","reward labor
 and resource",0.307172094
"scale = 1","reward land
 and resource",0.0356669552
"scale = 1","reward
 all three",-0.195146661
"scale = 1","selfishness",0.024798819
"scale = 1","generosity",-0.088898629
"scale = 1","tradition
 compliance",0.101978143
"scale = 1","reward
 labor",-0.0748350256
"scale = 1","reward
 land",0.111267817
"scale = 1","reward
 resource",-0.087608535
"scale = 1","reward labor
 and land",0.085309759
"scale = 1","reward labor
 and resource",0.00966677000000002
"scale = 1","reward land
 and resource",0.1042731341
"scale = 1","reward
 all three",-0.185952247
"scale = 1","selfishness",-0.038022479
"scale = 1","generosity",0.033786436
"scale = 1","tradition
 compliance",-0.084641518
"scale = 1","reward
 labor",0.54442298
"scale = 1","reward
 land",-0.200250237
"scale = 1","reward
 resource",0.025169723
"scale = 1","reward labor
 and land",0.005496981
"scale = 1","reward labor
 and resource",0.018729827
"scale = 1","reward land
 and resource",-0.316650635
"scale = 1","reward
 all three",0.011958912
"scale = 1","selfishness",-0.049938912
"scale = 1","generosity",-0.027148124
"scale = 1","tradition
 compliance",0.152730951
"scale = 1","reward
 labor",-0.0485762098
"scale = 1","reward
 land",0.005346173
"scale = 1","reward
 resource",-0.075280338
"scale = 1","reward labor
 and land",0.104597651
"scale = 1","reward labor
 and resource",0.011282984
"scale = 1","reward land
 and resource",0.1151001642
"scale = 1","reward
 all three",-0.18811435
"scale = 1","selfishness",-0.061762871
"scale = 1","generosity",-0.175616885
"scale = 1","tradition
 compliance",0.103253726
"scale = 1","reward
 labor",-0.0771311298
"scale = 1","reward
 land",-0.073453047
"scale = 1","reward
 resource",0.00814941999999999
"scale = 1","reward labor
 and land",0.12595393
"scale = 1","reward labor
 and resource",0.047020281
"scale = 1","reward land
 and resource",0.098072361
"scale = 1","reward
 all three",0.00551422000000001
"scale = 1","selfishness",0.023185674
"scale = 1","generosity",0.002139006
"scale = 1","tradition
 compliance",-0.1701968734
"scale = 1","reward
 labor",0.68315552
"scale = 1","reward
 land",-0.021772604
"scale = 1","reward
 resource",-0.016314438
"scale = 1","reward labor
 and land",-0.2493746038
"scale = 1","reward labor
 and resource",-0.0608913378
"scale = 1","reward land
 and resource",-0.010608041
"scale = 1","reward
 all three",-0.1793222867
"scale = 1","selfishness",-0.264086735
"scale = 1","generosity",-0.061688888
"scale = 1","tradition
 compliance",-0.023125178
"scale = 1","reward
 labor",-0.030544154
"scale = 1","reward
 land",-0.084757502
"scale = 1","reward
 resource",-0.009523225
"scale = 1","reward labor
 and land",0.5516468006
"scale = 1","reward labor
 and resource",-0.123450941
"scale = 1","reward land
 and resource",-0.018342293
"scale = 1","reward
 all three",0.0638721165
"scale = 1","selfishness",0.606391082
"scale = 1","generosity",-0.1730380855
"scale = 1","tradition
 compliance",0.0358308524
"scale = 1","reward
 labor",-0.081417239
"scale = 1","reward
 land",-0.10299397
"scale = 1","reward
 resource",-0.054002924
"scale = 1","reward labor
 and land",-0.272934878
"scale = 1","reward labor
 and resource",0.006164391
"scale = 1","reward land
 and resource",0.012685624
"scale = 1","reward
 all three",0.023315158
"scale = 1","selfishness",-0.192864087
"scale = 1","generosity",0.368029896
"scale = 1","tradition
 compliance",-0.209963621
"scale = 1","reward
 labor",0.10679503
"scale = 1","reward
 land",0.001898394
"scale = 1","reward
 resource",0.039563336
"scale = 1","reward labor
 and land",0.154722314
"scale = 1","reward labor
 and resource",-0.139367522
"scale = 1","reward land
 and resource",-0.102748872
"scale = 1","reward
 all three",-0.026064877
"scale = 1","selfishness",0.314172866
"scale = 1","generosity",-0.15799009
"scale = 1","tradition
 compliance",0.054819488
"scale = 1","reward
 labor",-0.019989842
"scale = 1","reward
 land",0.00490113
"scale = 1","reward
 resource",-0.089991944
"scale = 1","reward labor
 and land",-0.247185971
"scale = 1","reward labor
 and resource",0.009571963
"scale = 1","reward land
 and resource",0.098140291
"scale = 1","reward
 all three",0.03355212
"scale = 1","selfishness",-0.025775667
"scale = 1","generosity",0.224104352
"scale = 1","tradition
 compliance",-0.466302686
"scale = 1","reward
 labor",0.107038619
"scale = 1","reward
 land",-0.013242564
"scale = 1","reward
 resource",0.065220686
"scale = 1","reward labor
 and land",0.04400027
"scale = 1","reward labor
 and resource",0.05486084
"scale = 1","reward land
 and resource",-0.042916561
"scale = 1","reward
 all three",0.053012708
"scale = 1","selfishness",-0.035882111
"scale = 1","generosity",0.263754873
"scale = 1","tradition
 compliance",-0.463308427
"scale = 1","reward
 labor",0.107975869
"scale = 1","reward
 land",-0.044886207
"scale = 1","reward
 resource",0.031647933
"scale = 1","reward labor
 and land",0.019337957
"scale = 1","reward labor
 and resource",0.201109288
"scale = 1","reward land
 and resource",-0.104843272
"scale = 1","reward
 all three",0.025094093
"scale = 1","selfishness",-0.0123267411
"scale = 1","generosity",0.357866884
"scale = 1","tradition
 compliance",-0.1388047037
"scale = 1","reward
 labor",-0.02263663
"scale = 1","reward
 land",-0.1916822743
"scale = 1","reward
 resource",-0.021197737
"scale = 1","reward labor
 and land",0.0213546082
"scale = 1","reward labor
 and resource",0.016202063
"scale = 1","reward land
 and resource",-0.04743798
"scale = 1","reward
 all three",0.0386625
"scale = 1","selfishness",0.136257994
"scale = 1","generosity",-0.0320168458
"scale = 1","tradition
 compliance",0.134654501
"scale = 1","reward
 labor",-0.0127359313
"scale = 1","reward
 land",0.4476314184
"scale = 1","reward
 resource",0.023489213
"scale = 1","reward labor
 and land",-0.599006904
"scale = 1","reward labor
 and resource",-0.061887887
"scale = 1","reward land
 and resource",-0.005724967
"scale = 1","reward
 all three",-0.0306605955
"scale = 1","selfishness",0.1226719199
"scale = 1","generosity",0.14471834
"scale = 1","tradition
 compliance",0.394311884
"scale = 1","reward
 labor",0.0152771
"scale = 1","reward
 land",-0.4993210602
"scale = 1","reward
 resource",-0.095002917
"scale = 1","reward labor
 and land",-0.048676428
"scale = 1","reward labor
 and resource",-0.0138712682
"scale = 1","reward land
 and resource",0.0022536805
"scale = 1","reward
 all three",-0.022361243
"scale = 1","selfishness",-0.055747475
"scale = 1","generosity",0.0697739917
"scale = 1","tradition
 compliance",0.226282271
"scale = 1","reward
 labor",0.06874835
"scale = 1","reward
 land",0.0754035153
"scale = 1","reward
 resource",0.0355587455
"scale = 1","reward labor
 and land",0.06875285
"scale = 1","reward labor
 and resource",-0.113442451
"scale = 1","reward land
 and resource",-0.310785242
"scale = 1","reward
 all three",-0.064544555
"scale = 1","selfishness",0.321308714
"scale = 1","generosity",-0.009423002
"scale = 1","tradition
 compliance",-0.013984063
"scale = 1","reward
 labor",0.0029100887
"scale = 1","reward
 land",-0.2254298483
"scale = 1","reward
 resource",-0.562029945
"scale = 1","reward labor
 and land",0.112103665
"scale = 1","reward labor
 and resource",-0.01764355
"scale = 1","reward land
 and resource",0.2794630938
"scale = 1","reward
 all three",0.112724844
"scale = 1","selfishness",-0.474380154
"scale = 1","generosity",-0.002020438
"scale = 1","tradition
 compliance",0.14667151
"scale = 1","reward
 labor",0.013311348
"scale = 1","reward
 land",-0.02443659
"scale = 1","reward
 resource",-0.13416201
"scale = 1","reward labor
 and land",0.2274577689
"scale = 1","reward labor
 and resource",0.005240675
"scale = 1","reward land
 and resource",0.0726729219
"scale = 1","reward
 all three",0.169644971
"scale = 1","selfishness",0.011274065
"scale = 1","generosity",-0.014289741
"scale = 1","tradition
 compliance",-0.0073837412
"scale = 1","reward
 labor",-0.01962003
"scale = 1","reward
 land",0.032481788
"scale = 1","reward
 resource",0.0327685706
"scale = 1","reward labor
 and land",-0.082929903
"scale = 1","reward labor
 and resource",0.075006059
"scale = 1","reward land
 and resource",0.433173176
"scale = 1","reward
 all three",-0.460480241
"scale = 1","selfishness",-0.060998889
"scale = 1","generosity",-0.048691879
"scale = 1","tradition
 compliance",-0.10139444
"scale = 1","reward
 labor",-0.217118699
"scale = 1","reward
 land",-0.16376823
"scale = 1","reward
 resource",-0.023356179
"scale = 1","reward labor
 and land",-0.070992707
"scale = 1","reward labor
 and resource",0.3143593413
"scale = 1","reward land
 and resource",0.3728453
"scale = 1","reward
 all three",-0.00088361
"scale = 1","selfishness",0.033124227
"scale = 1","generosity",0.022295889
"scale = 1","tradition
 compliance",0.067166898
"scale = 1","reward
 labor",0.197894423
"scale = 1","reward
 land",0.058388368
"scale = 1","reward
 resource",0.19890138
"scale = 1","reward labor
 and land",0.121241759
"scale = 1","reward labor
 and resource",-0.5957995651
"scale = 1","reward land
 and resource",-0.1041704735
"scale = 1","reward
 all three",0.000957084999999996
"scale = 1","selfishness",-0.139657351
"scale = 1","generosity",-0.004129353
"scale = 1","tradition
 compliance",0.048411253
"scale = 1","reward
 labor",-0.045632194
"scale = 1","reward
 land",0.00226852
"scale = 1","reward
 resource",0.068938076
"scale = 1","reward labor
 and land",-0.127697915
"scale = 1","reward labor
 and resource",-0.3811470121
"scale = 1","reward land
 and resource",0.053771682
"scale = 1","reward
 all three",0.524874291
"scale = 1","selfishness",0.0162021292
"scale = 1","generosity",-0.285826057
"scale = 1","tradition
 compliance",-0.049055015
"scale = 1","reward
 labor",0.122633326
"scale = 1","reward
 land",-0.0820963603
"scale = 1","reward
 resource",-0.052001376
"scale = 1","reward labor
 and land",0.1606820295
"scale = 1","reward labor
 and resource",0.5680462613
"scale = 1","reward land
 and resource",-0.371012099
"scale = 1","reward
 all three",-0.027572845
"scale = 1","selfishness",0.092927688
"scale = 1","generosity",0.003710342
"scale = 1","tradition
 compliance",0.116673977
"scale = 1","reward
 labor",0.140270247
"scale = 1","reward
 land",-0.296393462
"scale = 1","reward
 resource",-0.1801706611
"scale = 1","reward labor
 and land",0.07997378
"scale = 1","reward labor
 and resource",0.098200329
"scale = 1","reward land
 and resource",0.080699504
"scale = 1","reward
 all three",-0.135891733
"scale = 1","selfishness",-0.170609029
"scale = 1","generosity",0.00586972500000001
"scale = 1","tradition
 compliance",-0.085778743
"scale = 1","reward
 labor",0.049279257
"scale = 1","reward
 land",-0.0167237125
"scale = 1","reward
 resource",0.172848591
"scale = 1","reward labor
 and land",0.169520313
"scale = 1","reward labor
 and resource",-0.281384396
"scale = 1","reward land
 and resource",0.010828759
"scale = 1","reward
 all three",0.14614923
"scale = 1","selfishness",-0.253485711
"scale = 1","generosity",-0.007921755
"scale = 1","tradition
 compliance",0.048706516
"scale = 1","reward
 labor",0.590279999
"scale = 1","reward
 land",-0.012655094
"scale = 1","reward
 resource",-0.007252626
"scale = 1","reward labor
 and land",-0.1070025395
"scale = 1","reward labor
 and resource",-0.2041113774
"scale = 1","reward land
 and resource",-0.02538427
"scale = 1","reward
 all three",-0.021173143
"scale = 1","selfishness",-0.22721021
"scale = 1","generosity",0.003526784
"scale = 1","tradition
 compliance",0.017521844
"scale = 1","reward
 labor",0.702710077
"scale = 1","reward
 land",-0.0212432225
"scale = 1","reward
 resource",-0.028030461
"scale = 1","reward labor
 and land",-0.1341105777
"scale = 1","reward labor
 and resource",-0.1452246409
"scale = 1","reward land
 and resource",-0.029944256
"scale = 1","reward
 all three",-0.137995332
"scale = 1","selfishness",0.102702623
"scale = 1","generosity",-0.250921579
"scale = 1","tradition
 compliance",0.138352149
"scale = 1","reward
 labor",0.057168065
"scale = 1","reward
 land",-0.078678788
"scale = 1","reward
 resource",0.098008723
"scale = 1","reward labor
 and land",-0.094297247
"scale = 1","reward labor
 and resource",-0.153381743
"scale = 1","reward land
 and resource",-0.046487207
"scale = 1","reward
 all three",0.227535001
"scale = 1","selfishness",0.00169065
"scale = 1","generosity",0.00192033
"scale = 1","tradition
 compliance",-0.068509087
"scale = 1","reward
 labor",-0.02167318
"scale = 1","reward
 land",0.093336437
"scale = 1","reward
 resource",-0.268343091
"scale = 1","reward labor
 and land",0.032553967
"scale = 1","reward labor
 and resource",0.271868792
"scale = 1","reward land
 and resource",-0.012096311
"scale = 1","reward
 all three",-0.030748515
"scale = 1","selfishness",-0.021418722
"scale = 1","generosity",-0.015208691
"scale = 1","tradition
 compliance",-0.017730875
"scale = 1","reward
 labor",0.010227273
"scale = 1","reward
 land",-0.075288368
"scale = 1","reward
 resource",0.441547512
"scale = 1","reward labor
 and land",-0.102149484
"scale = 1","reward labor
 and resource",-0.22751469
"scale = 1","reward land
 and resource",-0.083131381
"scale = 1","reward
 all three",0.090667435
"scale = 1","selfishness",-0.082564
"scale = 1","generosity",0.010469072
"scale = 1","tradition
 compliance",0.053300762
"scale = 1","reward
 labor",-0.14515693
"scale = 1","reward
 land",0.151868345
"scale = 1","reward
 resource",-0.087579448
"scale = 1","reward labor
 and land",0.143887787
"scale = 1","reward labor
 and resource",0.084634875
"scale = 1","reward land
 and resource",0.010976829
"scale = 1","reward
 all three",-0.139837286
"scale = 1","selfishness",0.027023027
"scale = 1","generosity",0.0164759613
"scale = 1","tradition
 compliance",-0.156916961
"scale = 1","reward
 labor",-0.11008585
"scale = 1","reward
 land",-0.285237699
"scale = 1","reward
 resource",-0.097147777
"scale = 1","reward labor
 and land",0.1086594719
"scale = 1","reward labor
 and resource",0.0351302182
"scale = 1","reward land
 and resource",0.3899228771
"scale = 1","reward
 all three",0.0721767294
"scale = 1","selfishness",-0.096508636
"scale = 1","generosity",0.05617965729
"scale = 1","tradition
 compliance",-0.522862103
"scale = 1","reward
 labor",0.25318344
"scale = 1","reward
 land",-0.0120737442
"scale = 1","reward
 resource",-0.067073863
"scale = 1","reward labor
 and land",-0.045184592
"scale = 1","reward labor
 and resource",0.001132839
"scale = 1","reward land
 and resource",0.395387851
"scale = 1","reward
 all three",0.0378191571
"scale = 1","selfishness",0.105717156
"scale = 1","generosity",0.249585967
"scale = 1","tradition
 compliance",-0.242698053
"scale = 1","reward
 labor",0.098075199
"scale = 1","reward
 land",0.01829139
"scale = 1","reward
 resource",-0.358729058
"scale = 1","reward labor
 and land",0.010117524
"scale = 1","reward labor
 and resource",0.122071302
"scale = 1","reward land
 and resource",0.096630565
"scale = 1","reward
 all three",-0.099061997
"scale = 1","selfishness",0.026107874
"scale = 1","generosity",-0.036614102
"scale = 1","tradition
 compliance",-0.045384248
"scale = 1","reward
 labor",-0.178318728
"scale = 1","reward
 land",-0.029737975
"scale = 1","reward
 resource",-0.03121849
"scale = 1","reward labor
 and land",0.025177817
"scale = 1","reward labor
 and resource",-0.102220715
"scale = 1","reward land
 and resource",0.189066974
"scale = 1","reward
 all three",0.18314158
"scale = 1","selfishness",-0.002705903
"scale = 1","generosity",0.188357598
"scale = 1","tradition
 compliance",0.050186629
"scale = 1","reward
 labor",0.083274097
"scale = 1","reward
 land",0.282831471
"scale = 1","reward
 resource",0.044594722
"scale = 1","reward labor
 and land",-0.715116134
"scale = 1","reward labor
 and resource",0.080844943
"scale = 1","reward land
 and resource",-0.030207908
"scale = 1","reward
 all three",0.01794048
"scale = 1","selfishness",0.239668733
"scale = 1","generosity",-0.025204041
"scale = 1","tradition
 compliance",-0.074139605
"scale = 1","reward
 labor",-0.051826254
"scale = 1","reward
 land",-0.127028004
"scale = 1","reward
 resource",-0.166782465
"scale = 1","reward labor
 and land",-0.007207359
"scale = 1","reward labor
 and resource",-0.183253246
"scale = 1","reward land
 and resource",0.326148312
"scale = 1","reward
 all three",0.06962393
"scale = 1","selfishness",-0.1126570778
"scale = 1","generosity",0.080212187
"scale = 1","tradition
 compliance",-0.02164347
"scale = 1","reward
 labor",0.151037113
"scale = 1","reward
 land",0.00431391
"scale = 1","reward
 resource",-0.132131005
"scale = 1","reward labor
 and land",-0.051258418
"scale = 1","reward labor
 and resource",0.185219448
"scale = 1","reward land
 and resource",-0.11552425
"scale = 1","reward
 all three",0.012431558
"scale = 1","selfishness",0.088885488
"scale = 1","generosity",-0.046775587
"scale = 1","tradition
 compliance",0.008834735
"scale = 1","reward
 labor",0.177288275
"scale = 1","reward
 land",-0.243026714
"scale = 1","reward
 resource",-0.064699643
"scale = 1","reward labor
 and land",-0.246631889
"scale = 1","reward labor
 and resource",0.1117763372
"scale = 1","reward land
 and resource",0.1701794211
"scale = 1","reward
 all three",0.044169593
"scale = 1","selfishness",-0.059050484
"scale = 1","generosity",0.181500332
"scale = 1","tradition
 compliance",9.32229999999999e-05
"scale = 1","reward
 labor",-0.1730689766
"scale = 1","reward
 land",0.42148859
"scale = 1","reward
 resource",-0.043139702
"scale = 1","reward labor
 and land",-0.039211998
"scale = 1","reward labor
 and resource",-0.273081844
"scale = 1","reward land
 and resource",0.020145957
"scale = 1","reward
 all three",-0.035675095
"scale = 1","selfishness",0.200839582
"scale = 1","generosity",-0.108847319
"scale = 1","tradition
 compliance",-0.453490683
"scale = 1","reward
 labor",0.061037654
"scale = 1","reward
 land",0.0469711667
"scale = 1","reward
 resource",0.14871564
"scale = 1","reward labor
 and land",0.020379432
"scale = 1","reward labor
 and resource",0.0367371253
"scale = 1","reward land
 and resource",-0.075134687
"scale = 1","reward
 all three",0.122792087
"scale = 1","selfishness",0.042592069
"scale = 1","generosity",0.147151897
"scale = 1","tradition
 compliance",0.1256448742
"scale = 1","reward
 labor",-0.018811992
"scale = 1","reward
 land",-0.048256928
"scale = 1","reward
 resource",-0.5852521636
"scale = 1","reward labor
 and land",-0.022845774
"scale = 1","reward labor
 and resource",-0.00169409600000001
"scale = 1","reward land
 and resource",0.310019898
"scale = 1","reward
 all three",0.051452213
"scale = 1","selfishness",-0.107591522
"scale = 1","generosity",-0.037921581
"scale = 1","tradition
 compliance",-0.394957344
"scale = 1","reward
 labor",0.00149095
"scale = 1","reward
 land",0.008053935
"scale = 1","reward
 resource",0.5577676858
"scale = 1","reward labor
 and land",0.0729450178
"scale = 1","reward labor
 and resource",0.015266911
"scale = 1","reward land
 and resource",-0.0381639096
"scale = 1","reward
 all three",-0.07689015
"scale = 1","selfishness",-0.008493253
"scale = 1","generosity",0.036038544
"scale = 1","tradition
 compliance",0.2994505676
"scale = 1","reward
 labor",0.1155497017
"scale = 1","reward
 land",-0.1000006976
"scale = 1","reward
 resource",-0.4725776349
"scale = 1","reward labor
 and land",0.1458047224
"scale = 1","reward labor
 and resource",0.0212793
"scale = 1","reward land
 and resource",0.044574615
"scale = 1","reward
 all three",-0.081625859
"scale = 1","selfishness",0.082147507
"scale = 1","generosity",0.010266711
"scale = 1","tradition
 compliance",-0.056935145
"scale = 1","reward
 labor",-0.562019365
"scale = 1","reward
 land",0.339808597
"scale = 1","reward
 resource",0.3689866114
"scale = 1","reward labor
 and land",-0.207769611
"scale = 1","reward labor
 and resource",-0.00155322
"scale = 1","reward land
 and resource",0.015301003
"scale = 1","reward
 all three",0.011766907
"scale = 1","selfishness",0.0337215038
"scale = 1","generosity",0.22285936
"scale = 1","tradition
 compliance",0.0916259202
"scale = 1","reward
 labor",-0.4939245921
"scale = 1","reward
 land",0.011713872
"scale = 1","reward
 resource",0.022419857
"scale = 1","reward labor
 and land",0.2811432215
"scale = 1","reward labor
 and resource",-0.102663997
"scale = 1","reward land
 and resource",-0.0493271871
"scale = 1","reward
 all three",-0.017567971
"scale = 1","selfishness",0.0459493068
"scale = 1","generosity",0.422843678
"scale = 1","tradition
 compliance",-0.108153585
"scale = 1","reward
 labor",-0.0229777
"scale = 1","reward
 land",-0.028880767
"scale = 1","reward
 resource",-0.21335016
"scale = 1","reward labor
 and land",0.1748724747
"scale = 1","reward labor
 and resource",-0.056425413
"scale = 1","reward land
 and resource",-0.1243572449
"scale = 1","reward
 all three",-0.089520579
"scale = 1","selfishness",-0.051517394
"scale = 1","generosity",-0.033280545
"scale = 1","tradition
 compliance",0.297386043
"scale = 1","reward
 labor",-0.010869796
"scale = 1","reward
 land",-0.089460526
"scale = 1","reward
 resource",0.368562688
"scale = 1","reward labor
 and land",-0.072212915
"scale = 1","reward labor
 and resource",-0.205976451
"scale = 1","reward land
 and resource",-0.0917453202
"scale = 1","reward
 all three",-0.110885784
"scale = 1","selfishness",0.00421261000000001
"scale = 1","generosity",-0.03732348
"scale = 1","tradition
 compliance",-0.2341132419
"scale = 1","reward
 labor",0.000966514000000002
"scale = 1","reward
 land",0.052374689
"scale = 1","reward
 resource",-0.2441064196
"scale = 1","reward labor
 and land",-0.001656988
"scale = 1","reward labor
 and resource",0.129034441
"scale = 1","reward land
 and resource",0.333175182
"scale = 1","reward
 all three",-0.002563304
"scale = 1","selfishness",0.22301742
"scale = 1","generosity",0.04614625
"scale = 1","tradition
 compliance",-0.34562309
"scale = 1","reward
 labor",-0.006744282
"scale = 1","reward
 land",0.040785644
"scale = 1","reward
 resource",0.016452439
"scale = 1","reward labor
 and land",0.006002378
"scale = 1","reward labor
 and resource",0.026623928
"scale = 1","reward land
 and resource",0.017202797
"scale = 1","reward
 all three",-0.023863487
"scale = 1","selfishness",-0.026070738
"scale = 1","generosity",0.33480634
"scale = 1","tradition
 compliance",-0.608875888
"scale = 1","reward
 labor",0.13408733
"scale = 1","reward
 land",0.0230303792
"scale = 1","reward
 resource",0.097534973
"scale = 1","reward labor
 and land",0.0209474893
"scale = 1","reward labor
 and resource",-0.015562605
"scale = 1","reward land
 and resource",0.07569752
"scale = 1","reward
 all three",-0.0355948021
"scale = 1","selfishness",0.097706257
"scale = 1","generosity",-0.0404226517
"scale = 1","tradition
 compliance",0.2546935172
"scale = 1","reward
 labor",-0.004261473
"scale = 1","reward
 land",0.062332773
"scale = 1","reward
 resource",-0.07221026
"scale = 1","reward labor
 and land",-0.216087082
"scale = 1","reward labor
 and resource",0.105107281
"scale = 1","reward land
 and resource",-0.386501036
"scale = 1","reward
 all three",0.199642669
"scale = 1","selfishness",0.186386187
"scale = 1","generosity",0.2475520459
"scale = 1","tradition
 compliance",0.0533478392
"scale = 1","reward
 labor",0.025305088
"scale = 1","reward
 land",-0.0357016332
"scale = 1","reward
 resource",0.282399485
"scale = 1","reward labor
 and land",-0.00273586
"scale = 1","reward labor
 and resource",-0.573809336
"scale = 1","reward land
 and resource",-0.0559765074
"scale = 1","reward
 all three",-0.126767305
"scale = 1","selfishness",0.169626624
"scale = 1","generosity",0.2015266321
"scale = 1","tradition
 compliance",0.1303859785
"scale = 1","reward
 labor",-0.065076762
"scale = 1","reward
 land",-0.022007432
"scale = 1","reward
 resource",0.04876073
"scale = 1","reward labor
 and land",-0.006556379
"scale = 1","reward labor
 and resource",-0.19220076
"scale = 1","reward land
 and resource",-0.2366163345
"scale = 1","reward
 all three",-0.027842276
"scale = 1","selfishness",0.132527894
"scale = 1","generosity",0.21807996
"scale = 1","tradition
 compliance",0.1548814995
"scale = 1","reward
 labor",-0.115714319
"scale = 1","reward
 land",-0.054890203
"scale = 1","reward
 resource",0.07481057
"scale = 1","reward labor
 and land",0.007401263
"scale = 1","reward labor
 and resource",-0.17690176
"scale = 1","reward land
 and resource",-0.1851930135
"scale = 1","reward
 all three",-0.055001891
"scale = 1","selfishness",0.199058504
"scale = 1","generosity",0.022661209
"scale = 1","tradition
 compliance",0.00281252
"scale = 1","reward
 labor",0.177660704
"scale = 1","reward
 land",-0.071873424
"scale = 1","reward
 resource",0.075213439
"scale = 1","reward labor
 and land",0.141440284
"scale = 1","reward labor
 and resource",-0.142083412
"scale = 1","reward land
 and resource",-0.073147315
"scale = 1","reward
 all three",-0.33174252
"scale = 1","selfishness",0.3458113788
"scale = 1","generosity",-0.112626314
"scale = 1","tradition
 compliance",-0.046088467
"scale = 1","reward
 labor",-0.281357125
